Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
A1BG			1
A1BG-AS1	FLJ23569	NCRNA00181	503538
A1BG-AS1	FLJ23569	A1BGAS	503538
A1BG-AS1	FLJ23569	A1BG-AS	503538
A1CF	ACF		29974
A1CF	ASP		29974
A1CF	ACF64		29974
A1CF	ACF65		29974
A1CF	APOBEC1CF		29974
A2M	FWP007		2
A2M	S863-7		2
A2M	CPAMD5		2
A2M-AS1			144571
A2ML1	FLJ25179	CPAMD9	144568
A2ML1	p170	CPAMD9	144568
A2ML1-AS1			100874108
A2ML1-AS2			106478979
A2MP1		A2MP	3
A3GALT2	IGBS3S	A3GALT2P	127550
A3GALT2	IGB3S	A3GALT2P	127550
A4GALT	A14GALT	P1	53947
A4GALT	Gb3S	P1	53947
A4GALT	P(k)	P1	53947
A4GNT	alpha4GnT		51146
A12M1			
A12M2			
A12M3			
A12M4			
AAAS			8086
AABT			
AACS	FLJ12389		65985
AACS	SUR-5		65985
AACS	ACSF1		65985
AACSP1		AACSL	729522
AADAC	DAC		13
AADAC	CES5A1		13
AADACL2	MGC72001		344752
AADACL2-AS1			101928142
AADACL3	OTTHUMG00000001887		126767
AADACL4	OTTHUMG00000001889		343066
AADACP1			201651
AADAT	KATII		51166
AADAT	KAT2		51166
AADAT	KYAT2		51166
AAGAB	FLJ11506		79719
AAGAB	p34		79719
AAK1	KIAA1048		22848
AAK1	DKFZp686K16132		22848
AAMDC	PTD015	C11orf67	28971
AAMDC	FLJ21035	C11orf67	28971
AAMDC	CK067	C11orf67	28971
AAMP			14
AANAT	SNAT		15
AAR2	bA234K24.2	C20orf4	25980
AARD	LOC441376	C8orf85	441376
AARS1	CMT2N	AARS	16
AARS1	AlaRS	AARS	16
AARS1P1		AARSP1	106480683
AARS2	KIAA1270	AARSL	57505
AARS2	bA444E17.1	AARSL	57505
AARSD1	MGC2744		80755
AARSD1	AlaXp		80755
AARSD1P1			117981788
AASDH	NRPS998		132949
AASDH	LYS2		132949
AASDH	ACSF4		132949
AASDHPPT	LYS5		60496
